method,archetype,overlap,noisy,seed,error,mask_iou,coverage_pct,junction_f1,junction_type_accuracy,x_passthrough_accuracy,coincident_unrelated_false_merge,width_mae,dash_style_accuracy,arc_radius_rel_err,curve_misfit_count,reconstruction_ssim,segment_count_ratio,runtime_s
baseline,floor_plan,low,False,0,,0.7382813643683209,0.9794704746032348,0.5599999999999999,1.0,0.0,nan,3.503957848799856,1.0,0.015160241750435276,1,0.887308785713881,1.3703703703703705,0.30360109987668693
S2_medial_axis,floor_plan,low,False,0,,0.7078839348903043,0.9895837278890951,0.4705882352941177,0.875,0.0,nan,3.644327228719538,1.0,0.03423860814567482,1,0.8734615607264951,1.9259259259259258,0.3711602003313601
S3_junction_repair,floor_plan,low,False,0,,0.7363425313703018,0.9809855687284572,0.4210526315789474,1.0,0.0,nan,3.4194209952103463,1.0,0.017632853511746933,0,0.8878466458206402,1.2592592592592593,0.2901329000014812
S8_lsd,floor_plan,low,False,0,,0.18181818181818182,0.9987500473466914,0.4,0.5,0.0,nan,1.72,0.96,0.8699449183835372,0,0.1286032509731281,2.4074074074074074,0.45828939974308014
S9_hough,floor_plan,low,False,0,,0.269376465636462,0.9996212264686943,0.3225806451612903,0.4,0.5,nan,1.5263157894736843,0.8421052631578947,0.8699449183835372,0,0.177731061240596,2.6666666666666665,0.8190188999287784
F1_rdp,floor_plan,low,False,0,,0.7460411076052018,0.9741297678118253,0.5,1.0,0.0,nan,3.4556666101728166,0.9523809523809523,0.02082574079068847,1,0.8927946421671675,1.4814814814814814,0.3380156001076102
baseline,floor_plan,high,False,0,,0.747349965741002,0.9921642174493885,0.5691056910569106,0.2,0.0,1.0,4.36147944132487,0.9487179487179487,0.18683350092390535,0,0.8312906803812069,2.9761904761904763,0.8535046000033617
S2_medial_axis,floor_plan,high,False,0,,0.7226877563435838,0.9910851916555339,0.6333333333333333,0.4473684210526316,0.0,1.0,4.475477951328929,0.926829268292683,0.16806615602172362,0,0.8223596932398107,3.142857142857143,1.0461411997675896
S3_junction_repair,floor_plan,high,False,0,,0.6999400045513788,0.9493628609598191,0.18867924528301888,0.8,0.0,1.0,3.8521969101645728,0.9393939393939394,0.024309251576080167,0,0.8291169904399545,1.7380952380952381,0.6882869005203247
S8_lsd,floor_plan,high,False,0,,0.23446165992302379,0.9977905662316309,0.5555555555555556,0.125,0.0,0.0,1.3476190453483945,0.9523809523809523,0.0581512490976376,0,0.08573196371212664,3.4523809523809526,2.302249900298193
S9_hough,floor_plan,high,False,0,,0.33380057278851194,0.9992806494707636,0.325,0.21428571428571427,0.9347826086956522,0.0,1.495402753353119,0.9444444444444444,0.0581512490976376,0,0.15127018363852832,3.142857142857143,3.319353699684143
F1_rdp,floor_plan,high,False,0,,0.774851211927758,0.9891069777001336,0.564885496183206,0.2972972972972973,0.0,1.0,4.1975199460983275,0.95,0.02076321545502996,1,0.850811310622481,3.2857142857142856,1.0736178997904062
baseline,curved,low,False,0,,0.7478641900457477,0.9862268682017235,0.5517241379310345,0.875,0.0,nan,3.5321523348490396,0.9523809523809523,0.046751665957905,1,0.8819412976679699,1.4285714285714286,0.38851730013266206
S2_medial_axis,curved,low,False,0,,0.7227314144824999,0.9911357536375194,0.6206896551724138,0.7777777777777778,0.0,nan,3.607078199801238,1.0,0.0237532025615526,0,0.868927544043955,1.6428571428571428,0.41708430042490363
S3_junction_repair,curved,low,False,0,,0.7391099664922046,0.9822008758299194,0.34782608695652173,1.0,0.0,nan,3.425722685727206,0.9090909090909091,0.007550740613481627,0,0.88104183889564,1.5357142857142858,0.3787141996435821
S8_lsd,curved,low,False,0,,0.19631487212321702,0.9998587371097613,0.33333333333333337,0.625,0.0,nan,1.7538461501781757,0.9615384615384616,0.4808290407545115,1,0.1272565297128238,2.607142857142857,0.6596381000708789
S9_hough,curved,low,False,0,,0.2748289863554889,0.9983048453171351,0.3636363636363637,0.3333333333333333,0.5,nan,1.6624999990065892,0.9583333333333334,0.4808290407545115,1,0.1745064129238947,2.9642857142857144,1.3700296999886632
F1_rdp,curved,low,False,0,,0.7401181914478452,0.9584333945472524,0.5333333333333333,1.0,0.0,nan,3.4073999361558394,0.9545454545454546,0.01352675372235812,1,0.8858442800085016,1.4642857142857142,0.36104669980704784
baseline,curved,high,False,0,,0.7532871838502591,0.992061359583771,0.5362318840579711,0.24324324324324326,0.0,1.0,4.391822433471679,0.95,0.2635298404170109,1,0.8275685863570822,3.302325581395349,1.0518212001770735
S2_medial_axis,curved,high,False,0,,0.7126817733256372,0.9910842961479274,0.5652173913043478,0.3,0.0,1.0,4.430307036354428,0.9285714285714286,0.3327533605088729,1,0.8062804078836561,3.558139534883721,1.150558800669387
S3_junction_repair,curved,high,False,0,,0.700861502954577,0.9511468282078214,0.17857142857142855,0.8,0.0,1.0,4.035240469752131,0.918918918918919,0.08994221590449251,1,0.8246693281870009,1.9069767441860466,0.9197735004127026
S8_lsd,curved,high,False,0,,0.24088852892953797,0.9995114682820783,0.5,0.12121212121212122,0.0,0.0,1.4186046511627908,0.9534883720930233,0.11976927111862191,1,0.08904811568849107,3.744186046511628,2.937014300841838
S9_hough,curved,high,False,0,,0.3563751464946461,0.9995603214538704,0.20253164556962025,0.2222222222222222,0.7916666666666666,0.0,1.7158320156427531,0.9487179487179487,0.11976927111862191,1,0.16344749631641523,3.511627906976744,4.525932600023225
F1_rdp,curved,high,False,0,,0.7823194851711176,0.9936490876670168,0.5234899328859061,0.3333333333333333,0.0,1.0,4.1686237426031205,0.9523809523809523,0.13238874772960224,2,0.8465674666941789,3.7209302325581395,1.359301200369373
baseline,mep_overlay,low,False,0,,0.6546474804155786,0.8066238260009886,0.64,0.875,0.0,nan,3.6654856772649858,0.9047619047619048,0.10970395527298236,0,0.8547326372550786,1.56,0.3350020002108067
S2_medial_axis,mep_overlay,low,False,0,,0.6355255238824753,0.8086669962102488,0.5161290322580645,1.0,0.0,nan,3.739069962501526,0.95,0.18950533557453483,0,0.8463795656194587,1.76,0.42771449964493513
S3_junction_repair,mep_overlay,low,False,0,,0.6403555356793471,0.7915966386554621,0.4444444444444445,1.0,0.0,nan,3.619069957733154,1.0,0.03979708690528433,1,0.8533571162741501,1.52,0.3690525002311915
S8_lsd,mep_overlay,low,False,0,,0.17849257443000907,0.9853353105948262,0.37837837837837834,0.5,0.0,nan,1.5,0.9166666666666666,0.20723350276932603,0,0.10865137445260796,2.76,0.5190931998658925
S9_hough,mep_overlay,low,False,0,,0.27112539740265834,0.9875762069533696,0.27586206896551724,0.75,1.0,nan,1.6893249948819478,0.9166666666666666,0.20723350276932603,0,0.1609320797915365,3.12,1.0980245999526232
F1_rdp,mep_overlay,low,False,0,,0.655697404810459,0.8014829461196243,0.5333333333333333,1.0,0.0,nan,3.671599951657382,0.8636363636363636,0.04412903080058948,1,0.85751325211298,1.72,0.36516860011033714
baseline,mep_overlay,high,False,0,,0.692787516929592,0.8876033439563993,0.49541284403669716,0.37037037037037035,0.0,1.0,4.533485203254513,0.9024390243902439,0.2194848358752498,0,0.8024000722055743,3.075,1.0217273002490401
S2_medial_axis,mep_overlay,high,False,0,,0.6949999039551278,0.8904669530275737,0.4878048780487805,0.3333333333333333,0.0,1.0,4.995690060824883,0.9024390243902439,0.18983607830254207,1,0.804444549755977,3.65,1.146217999048531
S3_junction_repair,mep_overlay,high,False,0,,0.6654382470119522,0.8500069280864625,0.17777777777777776,1.0,0.0,0.0,3.9367635466835718,0.9090909090909091,0.064941219158303,1,0.8106475268460486,1.9,0.7724723007995635
S8_lsd,mep_overlay,high,False,0,,0.2317092063983888,0.9927716964574385,0.5102040816326531,0.15384615384615385,0.0,1.0,1.3157894736842106,0.9473684210526315,0.6603968827182023,0,0.07736327365892058,3.7,2.389792300062254
S9_hough,mep_overlay,high,False,0,,0.3325154945953669,0.9935106923467738,0.42105263157894735,0.1875,0.6,0.0,2.0438796378845394,0.9069767441860465,0.6603968827182023,0,0.1462097579920989,3.675,5.304853999987245
F1_rdp,mep_overlay,high,False,0,,0.7208004731861198,0.8834464920788878,0.4745762711864407,0.3793103448275862,0.0,1.0,4.521512293815613,0.925,0.0361257690567521,1,0.8229481513902992,3.35,1.0798725998029113
